epoch,K_mae,Phi_mae,Theta_mae,P_mae,T_mae,TPR_mae,FPR_mae,K_std,Phi_std,Theta_std,P_std,T_std
1,7.811075448989868,26.06452703475952,5.649589151144028,134.23136472702026,38.69810998439789,396.7146635055542,396.4080333709717,9.235748648643494,28.318481147289276,6.1669135093688965,23.772703111171722,30.3979754447937
2,5.987763777375221,23.633244037628174,4.775976575911045,132.7874779701233,34.84705090522766,396.80845737457275,396.57864570617676,7.8087106347084045,28.146503269672394,5.961432158946991,23.61849844455719,30.413854122161865
3,5.172242224216461,21.020468026399612,4.3091196566820145,131.59947395324707,32.33601748943329,396.88236713409424,396.70283794403076,6.901556998491287,28.118841648101807,5.7852499186992645,23.573054373264313,30.229243636131287
4,4.8980433493852615,19.640307873487473,4.03773307800293,130.2755355834961,30.629804730415344,396.923565864563,396.786093711853,6.490261107683182,28.07531476020813,5.585262067615986,23.475785553455353,29.783916473388672
5,4.790248349308968,18.91948565840721,3.860747516155243,128.94432544708252,29.205894470214844,396.93403244018555,396.8236207962036,6.3145458698272705,28.004136979579926,5.43437272310257,23.403379321098328,29.379522800445557
6,4.690318182110786,18.499445021152496,3.7242328003048897,127.34355926513672,28.049731254577637,396.9062805175781,396.79114818573,6.192018464207649,27.879352569580078,5.308834947645664,23.144368827342987,29.123106598854065
7,4.611372947692871,18.299649953842163,3.6239302530884743,125.50547122955322,26.9179105758667,396.8532085418701,396.6461658477783,6.094707548618317,27.81001478433609,5.204483270645142,22.97060191631317,28.79583239555359
8,4.520700126886368,18.123216927051544,3.53583712130785,123.25718402862549,25.903528928756714,396.53778076171875,396.08185291290283,5.993336066603661,27.67794281244278,5.1034558564424515,22.642844915390015,28.5189151763916
9,4.451779276132584,18.053281009197235,3.4491273388266563,120.93708515167236,25.02349317073822,395.44875621795654,393.6952829360962,5.9198640286922455,27.553319334983826,5.021967664361,22.590240836143494,28.247064352035522
10,4.360993579030037,18.059226125478745,3.392639681696892,118.0044412612915,24.303725361824036,385.27090549468994,369.94574069976807,5.831360816955566,27.488163113594055,4.954964406788349,22.283127903938293,28.00486981868744
11,4.286801815032959,18.042030483484268,3.3298595622181892,114.8996114730835,23.560257256031036,350.4500150680542,293.2628393173218,5.748473480343819,27.362767159938812,4.896772876381874,22.126613557338715,27.744776010513306
12,4.214929416775703,17.98008754849434,3.266381062567234,111.25683784484863,22.904835641384125,305.2654027938843,206.1295747756958,5.6792475283145905,27.17915117740631,4.832652658224106,21.834249794483185,27.44326889514923
13,4.154011234641075,18.047114610671997,3.247731998562813,107.29410648345947,22.351576387882233,264.7148370742798,148.60562086105347,5.609745532274246,27.143070101737976,4.7968025878071785,21.6444194316864,27.161288261413574
14,4.08785343170166,17.996470481157303,3.201064243912697,102.73710489273071,21.782052516937256,228.60300540924072,107.6014757156372,5.545035749673843,26.968034505844116,4.7516388818621635,21.376702189445496,26.856443285942078
15,4.015994444489479,17.96238362789154,3.159322701394558,97.75745272636414,21.297231316566467,190.74156284332275,78.90209555625916,5.464162677526474,26.846975684165955,4.701085947453976,21.047726273536682,26.520854234695435
16,3.94827239215374,17.862712740898132,3.1287679821252823,92.37624406814575,20.76130509376526,155.9174656867981,57.040661573410034,5.397919192910194,26.65010690689087,4.6564167737960815,20.780465006828308,26.10549032688141
17,3.8886457681655884,17.841104865074158,3.103398308157921,86.44380569458008,20.282360911369324,127.6363730430603,44.441500306129456,5.338538810610771,26.587992310523987,4.632982313632965,20.566663146018982,25.656771659851074
18,3.8332466036081314,17.733670324087143,3.0783015489578247,79.9298346042633,19.778963923454285,103.08107137680054,33.78002941608429,5.292825028300285,26.34435385465622,4.597602970898151,20.312228798866272,25.182446837425232
19,3.796718269586563,17.701895534992218,3.049006462097168,72.67251014709473,19.2833349108696,79.10263538360596,24.224014580249786,5.251623317599297,26.26608431339264,4.563119821250439,20.09183168411255,24.69535619020462
20,3.7357743829488754,17.6520037651062,3.0365392193198204,64.76209163665771,18.83988082408905,58.029335737228394,15.50254374742508,5.192927643656731,26.130900979042053,4.547196216881275,19.977927207946777,24.24556165933609
1,3.6827653646469116,17.445409297943115,2.9908786341547966,58.26103091239929,18.51545125246048,51.14644765853882,12.597784399986267,5.1461342722177505,26.015957593917847,4.531160295009613,20.224355161190033,23.925815522670746
2,3.649604693055153,17.286833077669144,2.9787228628993034,51.57301425933838,18.252260982990265,46.608781814575195,9.945602715015411,5.115930363535881,25.915820002555847,4.526896253228188,20.785094797611237,23.65115135908127
3,3.6098700016736984,17.06484943628311,2.950781285762787,44.45464313030243,17.980635166168213,44.27741467952728,9.322348982095718,5.080277845263481,25.76509863138199,4.505830518901348,21.487782895565033,23.355334997177124
4,3.5416554659605026,16.941623389720917,2.936902195215225,37.09104657173157,17.72741824388504,46.11862301826477,10.170216858386993,5.028402805328369,25.6720232963562,4.482292123138905,22.35385775566101,23.093481361865997
5,3.48874032497406,16.779701113700867,2.9137782007455826,29.347607493400574,17.453260719776154,54.05055284500122,12.655957043170929,4.990196973085403,25.55531769990921,4.460375122725964,23.26577752828598,22.81336486339569
6,3.4499384462833405,16.60157024860382,2.8943633660674095,22.19400256872177,17.234088480472565,59.45785045623779,16.27720147371292,4.954317957162857,25.443134307861328,4.44193996489048,24.35695230960846,22.57399559020996
7,3.4020330756902695,16.50991916656494,2.8951234370470047,18.086665868759155,17.009219527244568,70.75049877166748,20.133940875530243,4.913591966032982,25.358615219593048,4.430741406977177,24.904675781726837,22.355468571186066
