epoch,K_mae,Phi_mae,Theta_mae,P_mae,T_mae,TPR_mae,FPR_mae,K_std,Phi_std,Theta_std,P_std,T_std
1,2.370188944041729,10.47972857952118,2.7166437171399593,8.116932213306427,11.895492672920227,92.42159128189087,2.280042879283428,4.290386661887169,17.741246223449707,4.090186692774296,14.807340502738953,17.938092350959778
2,1.971150003373623,9.799800664186478,2.4245374090969563,7.160671800374985,11.162693053483963,92.93500781059265,2.0923584699630737,3.9285559207201004,17.20231130719185,3.753783367574215,12.898999452590942,17.36704707145691
3,1.7332762479782104,9.500698819756508,2.2535256296396255,6.583353877067566,10.859089344739914,93.29869151115417,2.1010197699069977,3.723960742354393,16.966921985149384,3.563447445631027,11.390428245067596,17.178048193454742
4,1.616019755601883,9.301561564207077,2.119016032665968,6.056039035320282,10.68858951330185,93.2970941066742,2.040068618953228,3.614906594157219,16.82841807603836,3.3870727568864822,10.197776556015015,17.076919972896576
5,1.5525033697485924,9.168349653482437,2.0011362992227077,5.702162533998489,10.598152130842209,92.98401474952698,1.8719317391514778,3.568195551633835,16.739832758903503,3.2528245076537132,9.302648156881332,17.0198991894722
6,1.5157949179410934,9.09463182091713,1.9200925156474113,5.406519025564194,10.512590408325195,93.330979347229,1.9851753488183022,3.535536676645279,16.678946614265442,3.177805468440056,8.8313989341259,17.00396090745926
7,1.5121525153517723,8.963913694024086,1.8278821930289268,5.25614358484745,10.460855066776276,93.2210385799408,1.9006617367267609,3.50961796939373,16.616656333208084,3.0877576768398285,8.65710973739624,16.963469982147217
8,1.464886125177145,8.924336358904839,1.8062599003314972,5.155714228749275,10.435613989830017,93.5777485370636,2.0395291969180107,3.4886032342910767,16.554895788431168,2.979488968849182,8.554159104824066,16.93580001592636
9,1.4440730214118958,8.914935886859894,1.7058529146015644,5.100082233548164,10.38038656115532,93.62642765045166,2.0221689715981483,3.475136309862137,16.517606377601624,2.88856141269207,8.495127409696579,16.923540830612183
10,1.4420961029827595,8.810598626732826,1.6698333621025085,5.041808262467384,10.350994765758514,93.59586834907532,2.0072344690561295,3.4689247608184814,16.480911076068878,2.852398529648781,8.465716242790222,16.909973323345184
11,1.4227340929210186,8.755661621689796,1.6294054314494133,5.050776898860931,10.346897691488266,93.41291189193726,1.9155986607074738,3.4504633396863937,16.45249307155609,2.79612360522151,8.398103713989258,16.88585728406906
12,1.4163341373205185,8.843272626399994,1.5890401974320412,4.97967042028904,10.330414772033691,93.41466426849365,1.9092649221420288,3.442743793129921,16.42353594303131,2.7731038816273212,8.357927203178406,16.87534749507904
13,1.4294716529548168,8.702827468514442,1.5604654513299465,4.955699667334557,10.294683277606964,93.78345608711243,2.0439838990569115,3.432384505867958,16.419720500707626,2.7433325350284576,8.334722369909286,16.872084140777588
14,1.3878132216632366,8.807990849018097,1.6542473807930946,4.920664429664612,10.294853150844574,93.53320002555847,1.931653916835785,3.4301120787858963,16.38775795698166,2.7222540602087975,8.30623134970665,16.854213178157806
15,1.3829436153173447,8.72958853840828,1.5551734529435635,4.899464547634125,10.283014923334122,93.18796992301941,1.8037069588899612,3.4204911440610886,16.379031389951706,2.7089663967490196,8.338014036417007,16.84994250535965
16,1.3779263943433762,8.596387356519699,1.5028326585888863,4.8518843948841095,10.264252871274948,93.55104565620422,1.9327891990542412,3.4174486994743347,16.362053006887436,2.691227775067091,8.259756118059158,16.848784685134888
17,1.3581356965005398,8.638758212327957,1.5095948427915573,4.826941341161728,10.241442918777466,93.32162737846375,1.848970353603363,3.413578122854233,16.36478081345558,2.6719393394887447,8.243347704410553,16.830210387706757
18,1.4153879135847092,8.618657737970352,1.5447056293487549,4.8407938331365585,10.245902836322784,93.19021105766296,1.7923230305314064,3.4310195595026016,16.36236146092415,2.672895211726427,8.226823806762695,16.818204522132874
19,1.3449744321405888,8.563986271619797,1.4929765462875366,4.79554571211338,10.239502787590027,93.57177019119263,1.940968818962574,3.4049689769744873,16.325334906578064,2.64573248103261,8.193986117839813,16.81084632873535
20,1.344987377524376,8.652514591813087,1.4760075509548187,4.7807421535253525,10.211922228336334,93.23936700820923,1.8130924552679062,3.402968868613243,16.31306380033493,2.6512737572193146,8.236116170883179,16.811171174049377
21,1.3377852737903595,8.527476713061333,1.4474851079285145,4.758245870471001,10.269001871347427,93.38164329528809,1.8679633736610413,3.395763412117958,16.299135088920593,2.6259754970669746,8.165135979652405,16.80036634206772
