epoch,K_mae,Phi_mae,Theta_mae,P_mae,T_mae,TPR_mae,FPR_mae,K_std,Phi_std,Theta_std,P_std,T_std
1,2.3213956505060196,10.632226914167404,2.871859297156334,8.35079699754715,12.086669355630875,91.13098382949829,2.122422307729721,4.2104218155145645,17.84781038761139,4.2482683807611465,14.780949056148529,18.19491535425186
2,1.8656618893146515,9.95159424841404,2.5914930179715157,7.287698984146118,11.358396708965302,92.22649931907654,2.1187230944633484,3.8423504680395126,17.351380437612534,3.9157267659902573,13.044454157352448,17.57083684206009
3,1.642209105193615,9.604775235056877,2.3630958795547485,6.631367653608322,11.02125197649002,92.52188205718994,2.0752744749188423,3.629659116268158,17.10562974214554,3.711528852581978,11.5254245698452,17.342105507850647
4,1.537106465548277,9.364126771688461,2.2921812906861305,6.118592619895935,10.836388915777206,92.04944372177124,1.8215484917163849,3.517335280776024,16.939627826213837,3.525921329855919,10.267093032598495,17.21278578042984
5,1.4848356135189533,9.356409385800362,2.1509763970971107,5.714896693825722,10.713425278663635,92.36425757408142,1.8796660006046295,3.4684382379055023,16.84368520975113,3.3883434534072876,9.330303221940994,17.154012620449066
6,1.4681503176689148,9.163541793823242,1.996964793652296,5.457272008061409,10.654789954423904,92.46527552604675,1.8772486597299576,3.4403420984745026,16.75502747297287,3.2745856046676636,8.895688503980637,17.112180590629578
7,1.4343887567520142,8.969237878918648,1.9378593005239964,5.3488366305828094,10.580357909202576,92.6741361618042,1.9178584218025208,3.418033942580223,16.708963215351105,3.1718865036964417,8.636321872472763,17.092102766036987
8,1.4139983803033829,8.899323418736458,1.82394839823246,5.268539488315582,10.555822402238846,92.29058623313904,1.7628977075219154,3.4008190035820007,16.63692444562912,3.0553897842764854,8.596627414226532,17.07354485988617
9,1.3839982450008392,8.856874778866768,1.7539549805223942,5.161165818572044,10.528476536273956,92.28897094726562,1.7502501606941223,3.383919596672058,16.596675217151642,2.966081276535988,8.475759625434875,17.05147475004196
10,1.3773389160633087,8.848026171326637,1.7213778756558895,5.113796889781952,10.499358177185059,92.44605898857117,1.787601225078106,3.3684004098176956,16.564192324876785,2.920263782143593,8.44803899526596,17.051875591278076
